pre,post,class_1,class_2,cluster_1,cluster_2,layer_1,layer_2,synapse_class,total_contacts,L1-0,L1-5,L1-8,L1-16,L2,L3,L4-JSH,Adult-50,Adult-N2U
AVAR,RICL,AVA,RIC,Unclassified,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
RICL,AVAR,AVA,RIC,Sublateral,Unclassified,3,3,3,18,2,2,2,2,2,2,2,2,2
AVAR,AVAL,AVA,AVA,Unclassified,Unclassified,3,3,0,0,0,0,0,0,0,0,0,0,0
AVAL,AVAR,AVA,AVA,Unclassified,Unclassified,3,3,0,0,0,0,0,0,0,0,0,0,0
AVAR,SIADL,AVA,SIA,Unclassified,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SIADL,AVAR,AVA,SIA,Sublateral,Unclassified,3,3,1,1,0,0,0,0,0,0,0,0,1
AVAR,AVBL,AVA,AVB,Unclassified,Avoidance,3,3,1,1,0,0,0,0,0,0,0,0,1
AVBL,AVAR,AVA,AVB,Avoidance,Unclassified,3,3,1,1,0,0,0,0,0,0,0,0,1
SMDVR,SMDDL,SMD,SMD,Lateral,Lateral,3,3,3,18,2,2,2,2,2,2,2,2,2
SMDDL,SMDVR,SMD,SMD,Lateral,Lateral,3,3,3,18,2,2,2,2,2,2,2,2,2
SMDVR,RIBL,SMD,RIB,Lateral,Taxis,3,3,1,1,0,0,0,0,0,0,0,0,1
RIBL,SMDVR,SMD,RIB,Taxis,Lateral,3,3,2,15,0,2,1,2,2,2,2,2,2
SMDVR,OLLL,SMD,OLL,Lateral,Anterior,3,1,1,1,0,0,0,0,0,0,0,1,0
OLLL,SMDVR,SMD,OLL,Anterior,Lateral,1,3,3,18,2,2,2,2,2,2,2,2,2
SMDVR,SMDVL,SMD,SMD,Lateral,Lateral,3,3,2,2,0,0,0,0,0,0,0,0,2
SMDVL,SMDVR,SMD,SMD,Lateral,Lateral,3,3,2,2,0,0,0,0,0,0,0,0,2
SMDVR,CEPVL,SMD,CEP,Lateral,Anterior,3,1,1,8,1,1,0,0,1,1,1,1,2
CEPVL,SMDVR,SMD,CEP,Anterior,Lateral,1,3,2,10,1,1,2,2,0,0,1,2,1
SMDVR,URYVL,SMD,URY,Lateral,Anterior,3,1,0,0,0,0,0,0,0,0,0,0,0
URYVL,SMDVR,SMD,URY,Anterior,Lateral,1,3,3,18,2,2,2,2,2,2,2,2,2
SMDVR,SIADL,SMD,SIA,Lateral,Sublateral,3,3,1,1,0,0,0,0,0,0,0,0,1
SIADL,SMDVR,SMD,SIA,Sublateral,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SMDVR,SIAVL,SMD,SIA,Lateral,Sublateral,3,3,1,1,0,0,0,0,0,0,1,0,0
SIAVL,SMDVR,SMD,SIA,Sublateral,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
AVAL,RICL,AVA,RIC,Unclassified,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
RICL,AVAL,AVA,RIC,Sublateral,Unclassified,3,3,3,18,2,2,2,2,2,2,2,2,2
AVAL,AUAL,AVA,AUA,Unclassified,Taxis,3,3,0,0,0,0,0,0,0,0,0,0,0
AUAL,AVAL,AVA,AUA,Taxis,Unclassified,3,3,2,16,0,2,2,2,2,2,2,2,2
AVAL,AIBL,AVA,AIB,Unclassified,Taxis,3,3,0,0,0,0,0,0,0,0,0,0,0
AIBL,AVAL,AVA,AIB,Taxis,Unclassified,3,3,2,7,0,0,0,1,1,0,1,2,2
AVAL,DVC,AVA,DVC,Unclassified,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
DVC,AVAL,AVA,DVC,Lateral,Unclassified,3,3,3,18,2,2,2,2,2,2,2,2,2
AVAL,SMDVL,AVA,SMD,Unclassified,Lateral,3,3,1,1,0,0,0,0,0,0,0,0,1
SMDVL,AVAL,AVA,SMD,Lateral,Unclassified,3,3,1,1,0,0,0,0,0,0,0,0,1
AVAL,SMDDR,AVA,SMD,Unclassified,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
SMDDR,AVAL,AVA,SMD,Lateral,Unclassified,3,3,0,0,0,0,0,0,0,0,0,0,0
AVAL,RIAR,AVA,RIA,Unclassified,Anterior,3,3,0,0,0,0,0,0,0,0,0,0,0
RIAR,AVAL,AVA,RIA,Anterior,Unclassified,3,3,0,0,0,0,0,0,0,0,0,0,0
AVAL,RICR,AVA,RIC,Unclassified,Sublateral,3,3,0,0,0,0,0,0,0,0,0,0,0
RICR,AVAL,AVA,RIC,Sublateral,Unclassified,3,3,3,18,2,2,2,2,2,2,2,2,2
AVAL,RIMR,AVA,RIM,Unclassified,Lateral,3,3,0,0,0,0,0,0,0,0,0,0,0
RIMR,AVAL,AVA,RIM,Lateral,Unclassified,3,3,1,9,1,1,0,0,1,2,1,1,2
AVAL,BAGR,AVA,BAG,Unclassified,Taxis,3,1,0,0,0,0,0,0,0,0,0,0,0
BAGR,AVAL,AVA,BAG,Taxis,Unclassified,1,3,2,9,0,0,0,0,1,2,2,2,2
AVAL,AVBR,AVA,AVB,Unclassified,Avoidance,3,3,1,1,0,0,0,0,0,0,0,0,1
AVBR,AVAL,AVA,AVB,Avoidance,Unclassified,3,3,1,1,0,0,0,0,0,0,0,0,1
AVAL,ADER,AVA,ADE,Unclassified,Unclassified,3,1,1,2,0,0,0,0,0,0,2,0,0
ADER,AVAL,AVA,ADE,Unclassified,Unclassified,1,3,3,17,1,2,2,2,2,2,2,2,2
URYDL,URXL,URY,URX,Anterior,Unclassified,1,1,1,1,0,0,0,0,0,0,0,0,1
URXL,URYDL,URY,URX,Unclassified,Anterior,1,1,0,0,0,0,0,0,0,0,0,0,0
URYDL,AVER,URY,AVE,Anterior,Anterior,1,3,3,18,2,2,2,2,2,2,2,2,2
AVER,URYDL,URY,AVE,Anterior,Anterior,3,1,0,0,0,0,0,0,0,0,0,0,0
URYDL,CEPDL,URY,CEP,Anterior,Sublateral,1,1,1,3,0,0,0,0,1,0,0,1,1
CEPDL,URYDL,URY,CEP,Sublateral,Anterior,1,1,2,14,1,2,0,2,1,2,2,2,2
URYDL,IL1DL,URY,IL1,Anterior,Anterior,1,1,2,9,0,1,0,0,1,2,1,2,2
IL1DL,URYDL,URY,IL1,Anterior,Anterior,1,1,1,1,0,0,0,0,0,0,0,0,1
URYDL,IL2DL,URY,IL2,Anterior,Anterior,1,1,0,0,0,0,0,0,0,0,0,0,0
IL2DL,URYDL,URY,IL2,Anterior,Anterior,1,1,0,0,0,0,0,0,0,0,0,0,0
URYDL,RIBL,URY,RIB,Anterior,Taxis,1,3,2,16,2,2,2,2,2,2,0,2,2
RIBL,URYDL,URY,RIB,Taxis,Anterior,3,1,1,5,0,0,0,0,1,0,1,2,1
URYDL,RIGL,URY,RIG,Anterior,Lateral,1,3,0,0,0,0,0,0,0,0,0,0,0
RIGL,URYDL,URY,RIG,Lateral,Anterior,3,1,1,6,0,1,1,0,1,0,1,2,0
URYDL,URADL,URY,URA,Anterior,Anterior,1,2,1,1,0,0,0,0,1,0,0,0,0
URADL,URYDL,URY,URA,Anterior,Anterior,2,1,1,1,0,0,0,0,0,0,0,0,1
URYDL,RMED,URY,RMED,Anterior,Anterior,1,3,1,1,0,0,0,0,0,0,0,0,1
RMED,URYDL,URY,RMED,Anterior,Anterior,3,1,0,0,0,0,0,0,0,0,0,0,0
URYDL,SMDDR,URY,SMD,Anterior,Lateral,1,3,3,18,2,2,2,2,2,2,2,2,2
SMDDR,URYDL,URY,SMD,Lateral,Anterior,3,1,0,0,0,0,0,0,0,0,0,0,0
AIBR,SMDDL,AIB,SMD,Taxis,Lateral,3,3,3,18,2,2,2,2,2,2,2,2,2
SMDDL,AIBR,AIB,SMD,Lateral,Taxis,3,3,0,0,0,0,0,0,0,0,0,0,0
AIBR,AWCL,AIB,AWC,Taxis,Taxis,3,1,0,0,0,0,0,0,0,0,0,0,0
AWCL,AIBR,AIB,AWC,Taxis,Taxis,1,3,3,18,2,2,2,2,2,2,2,2,2
AIBR,RIBL,AIB,RIB,Taxis,Taxis,3,3,3,18,2,2,2,2,2,2,2,2,2
RIBL,AIBR,AIB,RIB,Taxis,Taxis,3,3,2,15,1,1,1,2,2,2,2,2,2
AIBR,AIZL,AIB,AIZ,Taxis,Taxis,3,3,1,5,0,0,0,0,1,0,2,1,1
AIZL,AIBR,AIB,AIZ,Taxis,Taxis,3,3,3,18,2,2,2,2,2,2,2,2,2
AIBR,RIGL,AIB,RIG,Taxis,Lateral,3,3,1,6,0,0,1,0,0,0,1,2,2
RIGL,AIBR,AIB,RIG,Lateral,Taxis,3,3,2,13,1,1,1,2,2,1,1,2,2
AIBR,AVKL,AIB,AVK,Taxis,Lateral,3,3,1,1,0,0,0,0,0,0,0,1,0
AVKL,AIBR,AIB,AVK,Lateral,Taxis,3,3,1,2,0,0,0,0,2,0,0,0,0
AIBR,ASEL,AIB,ASE,Taxis,Taxis,3,1,0,0,0,0,0,0,0,0,0,0,0
ASEL,AIBR,AIB,ASE,Taxis,Taxis,1,3,3,16,2,2,2,1,2,2,1,2,2
